Harga,Kamar Tidur,Kamar Mandi,Garasi,Luas Tanah,Luas Bangunan,Lokasi,Lokasi_encoded
860000000,2,2,0,72,72,Cimanggis,2489429483.9539747
950000000,3,2,0,84,114,Pancoran Mas,2480917164.813834
1350000000,3,3,0,90,70,Sukmajaya,2051098919.7510288
940000000,3,2,0,72,67,Pancoran Mas,3395635733.692935
740000000,2,1,0,105,85,Sawangan,2233344847.4117646
540000000,2,2,0,72,65,Sawangan,1955035704.9314709
860000000,2,1,0,75,45,Beji,3879711604.646512
1570000000,5,3,0,90,120,Limo,2165110767.227568
1420000000,4,3,0,150,200,Pancoran Mas,2665252674.71786
1240000000,4,2,0,75,100,Pancoran Mas,3359214486.389816
670000000,2,1,0,90,45,Tapos,2066736269.4283247
1000000000,2,1,0,83,36,Pancoran Mas,3359214486.389816
670000000,2,1,0,90,45,Cilodong,1541574045.137153
1030000000,2,2,0,103,100,Pancoran Mas,3359214486.389816
1030000000,2,2,0,103,100,Limo,2165110767.227568
1880000000,3,2,0,238,238,Pancoran Mas,2665252674.71786
1330000000,3,2,0,73,83,Cilodong,1627149868.7655294
920000000,3,1,0,75,45,Cimanggis,2476460973.56815
2210000000,4,3,0,101,202,Beji,3683624225.6842737
640000000,2,1,0,65,45,Pancoran Mas,3395635733.692935
1370000000,3,2,2,77,90,Kelapa Dua,2450029940.1197605
635000000,2,1,1,85,76,Cilodong,1541574045.137153
899000000,3,2,1,160,120,Sukmajaya,2051098919.7510288
855000000,3,2,1,74,80,Sawangan,1955035704.9314709
1350000000,3,3,2,84,95,Pancoran Mas,3359214486.389816
499000000,2,1,1,72,45,Pancoran Mas,3359214486.389816
1510000000,3,2,0,128,81,Sawangan,1955035704.9314709
880000000,2,2,0,84,52,Cinere,4680491988.075328
680000000,2,1,0,78,36,Sukmajaya,2051098919.7510288
560000000,2,1,0,70,45,Cinere,4778631550.604929
1770000000,3,2,0,75,84,Cinere,4778631550.604929
1990000000,4,3,0,90,110,Cinere,4778631550.604929
860000000,3,1,0,66,55,Sawangan,2218094374.7286887
500000000,2,1,0,120,80,Pancoran Mas,2665252674.71786
570000000,2,1,0,60,45,Sawangan,1658701541.0946062
1200000000,2,1,1,62,52,Cimanggis,2476460973.56815
500000000,2,1,0,120,80,Sawangan,1955035704.9314709
3100000000,4,3,0,150,230,Cinere,4852868864.173362
1440000000,3,2,0,94,58,Sukmajaya,2087985421.0505264
680000000,3,2,0,66,77,Sawangan,1955035704.9314709
2990000000,5,5,0,180,150,Cimanggis,2433828383.0610685
670000000,2,1,0,70,36,Cilodong,1618993457.942226
1400000000,3,2,0,77,90,Cimanggis,2489429483.9539747
1040000000,3,2,0,72,80,Sawangan,1955035704.9314709
2710000000,3,2,0,230,242,Cinere,4778631550.604929
500000000,2,1,0,84,54,Sawangan,2218094374.7286887
1300000000,3,2,1,62,83,Cinere,4778631550.604929
1030000000,2,2,0,103,100,Sawangan,2233344847.4117646
780000000,2,2,0,90,60,Sawangan,2218094374.7286887
750000000,2,1,0,83,70,Sawangan,2233344847.4117646
1000000000,2,3,0,133,100,Sawangan,2233344847.4117646
1000000000,2,1,0,83,36,Sukmajaya,2087578294.174668
1280000000,2,1,0,86,60,Cinere,4778631550.604929
590000000,2,1,0,85,45,Sawangan,2214365602.382716
1400000000,3,2,0,90,63,Sawangan,1658701541.0946062
1730000000,5,3,0,90,120,Cinere,4909606244.598561
